,Entrance,Clearing
359,2018-10-30 11:27:00,2018-10-30 11:30:00
360,2018-10-31 09:27:00,2018-10-31 09:30:00
361,2018-10-31 10:44:00,2018-10-31 10:46:00
362,2018-10-31 11:46:00,2018-10-31 11:49:00
363,2018-11-01 10:55:00,2018-11-01 10:58:00
364,2018-11-01 11:28:00,2018-11-01 11:31:00
365,2018-11-01 13:49:00,2018-11-01 13:52:00
366,2018-11-05 09:07:00,2018-11-05 09:10:00
367,2018-11-05 09:23:00,2018-11-05 09:26:00
368,2018-11-05 09:52:00,2018-11-05 09:55:00
369,2018-11-06 09:24:00,2018-11-06 09:27:00
370,2018-11-06 09:46:00,2018-11-06 09:49:00
371,2018-11-06 10:10:00,2018-11-06 10:13:00
372,2018-11-07 11:40:00,2018-11-07 11:43:00
373,2018-11-07 15:00:00,2018-11-07 15:02:00
374,2018-11-07 15:16:00,2018-11-07 15:19:00
375,2018-11-08 09:34:00,2018-11-08 09:37:00
376,2018-11-08 14:59:00,2018-11-08 15:02:00
377,2018-11-08 15:18:00,2018-11-08 15:21:00
378,2018-11-09 10:09:00,2018-11-09 10:12:00
379,2018-11-09 10:46:00,2018-11-09 10:49:00
380,2018-11-09 15:12:00,2018-11-09 15:15:00
381,2018-11-12 09:20:00,2018-11-12 09:23:00
382,2018-11-12 09:52:00,2018-11-12 09:54:00
383,2018-11-12 10:59:00,2018-11-12 11:02:00
384,2018-11-13 09:31:00,2018-11-13 09:34:00
385,2018-11-13 10:52:00,2018-11-13 10:55:00
386,2018-11-13 11:32:00,2018-11-13 11:35:00
387,2018-11-14 09:36:00,2018-11-14 09:39:00
388,2018-11-14 10:51:00,2018-11-14 10:54:00
389,2018-11-14 14:46:00,2018-11-14 14:48:00
390,2018-11-15 12:12:00,2018-11-15 12:15:00
391,2018-11-16 09:46:00,2018-11-16 09:49:00
392,2018-11-16 10:24:00,2018-11-16 10:27:00
393,2018-11-16 12:14:00,2018-11-16 12:17:00
394,2018-11-19 10:11:00,2018-11-19 10:14:00
395,2018-11-19 11:43:00,2018-11-19 11:46:00
396,2018-11-20 11:11:00,2018-11-20 11:14:00
397,2018-11-21 09:49:00,2018-11-21 09:52:00
398,2018-11-21 11:46:00,2018-11-21 11:49:00
399,2018-11-21 12:43:00,2018-11-21 12:46:00
400,2018-11-22 10:02:00,2018-11-22 10:04:00
401,2018-11-22 10:20:00,2018-11-22 10:22:00
402,2018-11-22 13:36:00,2018-11-22 13:39:00
403,2018-11-23 11:11:00,2018-11-23 11:14:00
404,2018-11-23 13:52:00,2018-11-23 13:55:00
405,2018-11-23 14:14:00,2018-11-23 14:17:00
406,2018-11-26 15:22:00,2018-11-26 15:25:00
407,2018-11-27 09:13:00,2018-11-27 09:16:00
408,2018-11-27 13:31:00,2018-11-27 13:34:00
409,2018-11-28 14:19:00,2018-11-28 14:22:00
410,2018-11-29 09:13:00,2018-11-29 09:14:00
411,2018-11-29 09:32:00,2018-11-29 09:35:00
412,2018-11-29 10:46:00,2018-11-29 10:49:00
413,2018-11-30 10:49:00,2018-11-30 10:50:00
414,2018-12-04 13:33:00,2018-12-04 13:36:00
415,2018-12-05 14:45:00,2018-12-05 14:48:00
416,2018-12-05 15:30:00,2018-12-05 15:33:00
417,2018-12-06 09:34:00,2018-12-06 09:37:00
418,2018-12-06 14:11:00,2018-12-06 14:14:00
419,2018-12-06 14:44:00,2018-12-06 14:47:00
420,2018-12-07 11:01:00,2018-12-07 11:04:00
421,2018-12-07 12:11:00,2018-12-07 12:14:00
422,2018-12-07 14:54:00,2018-12-07 14:56:00
423,2018-12-10 09:31:00,2018-12-10 09:34:00
424,2018-12-10 11:12:00,2018-12-10 11:15:00
425,2018-12-11 09:22:00,2018-12-11 09:23:00
426,2018-12-11 09:33:00,2018-12-11 09:36:00
427,2018-12-11 09:58:00,2018-12-11 10:01:00
428,2018-12-13 09:46:00,2018-12-13 09:49:00
429,2018-12-14 09:49:00,2018-12-14 09:52:00
430,2018-12-14 10:09:00,2018-12-14 10:10:00
431,2018-12-14 10:20:00,2018-12-14 10:23:00
432,2018-12-17 09:51:00,2018-12-17 09:54:00
433,2018-12-17 11:08:00,2018-12-17 11:11:00
434,2018-12-18 10:30:00,2018-12-18 10:33:00
436,2018-12-19 15:23:00,2018-12-19 15:26:00
437,2018-12-20 12:07:00,2018-12-20 12:10:00
438,2018-12-20 12:20:00,2018-12-20 12:23:00
439,2018-12-20 14:04:00,2018-12-20 14:07:00
440,2018-12-21 09:37:00,2018-12-21 09:40:00
441,2018-12-26 09:34:00,2018-12-26 09:37:00
442,2018-12-26 10:47:00,2018-12-26 10:50:00
443,2018-12-27 09:13:00,2018-12-27 09:16:00
444,2018-12-27 10:05:00,2018-12-27 10:08:00
445,2018-12-27 10:32:00,2018-12-27 10:35:00
446,2018-12-28 10:55:00,2018-12-28 10:58:00
447,2018-12-28 11:16:00,2018-12-28 11:19:00
448,2018-12-28 14:17:00,2018-12-28 14:20:00
449,2019-01-02 11:17:00,2019-01-02 11:20:00
450,2019-01-02 13:41:00,2019-01-02 13:44:00
451,2019-01-02 14:09:00,2019-01-02 14:12:00
452,2019-01-03 09:45:00,2019-01-03 09:48:00
453,2019-01-03 10:05:00,2019-01-03 10:08:00
454,2019-01-03 11:25:00,2019-01-03 11:28:00
455,2019-01-04 09:14:00,2019-01-04 09:16:00
456,2019-01-04 09:32:00,2019-01-04 09:35:00
457,2019-01-04 10:05:00,2019-01-04 10:08:00
458,2019-01-07 09:09:00,2019-01-07 09:12:00
459,2019-01-07 09:52:00,2019-01-07 09:55:00
460,2019-01-07 10:11:00,2019-01-07 10:14:00
461,2019-01-08 09:31:00,2019-01-08 09:34:00
462,2019-01-09 15:11:00,2019-01-09 15:14:00
463,2019-01-10 09:25:00,2019-01-10 09:28:00
464,2019-01-10 14:35:00,2019-01-10 14:38:00
465,2019-01-10 15:14:00,2019-01-10 15:17:00
466,2019-01-11 10:40:00,2019-01-11 10:43:00
467,2019-01-14 09:18:00,2019-01-14 09:21:00
468,2019-01-15 14:35:00,2019-01-15 14:38:00
469,2019-01-17 09:30:00,2019-01-17 09:32:00
470,2019-01-17 12:44:00,2019-01-17 12:47:00
471,2019-01-21 09:31:00,2019-01-21 09:34:00
473,2019-01-28 14:57:00,2019-01-28 15:00:00
474,2019-01-29 09:13:00,2019-01-29 09:16:00
475,2019-01-29 10:08:00,2019-01-29 10:11:00
476,2019-01-29 15:30:00,2019-01-29 15:33:00
477,2019-01-31 10:35:00,2019-01-31 10:38:00
478,2019-02-01 10:56:00,2019-02-01 10:59:00
479,2019-02-18 14:22:00,2019-02-18 14:25:00
480,2019-02-19 09:18:00,2019-02-19 09:21:00
481,2019-02-21 09:34:00,2019-02-21 09:37:00
482,2019-02-26 10:52:00,2019-02-26 10:55:00
483,2019-02-28 15:05:00,2019-02-28 15:08:00
484,2019-02-28 15:33:00,2019-02-28 15:45:00
485,2019-03-04 15:23:00,2019-03-04 15:26:00
486,2019-03-06 09:12:00,2019-03-06 09:15:00
487,2019-03-06 09:43:00,2019-03-06 09:46:00
488,2019-03-07 14:41:00,2019-03-07 14:44:00
489,2019-03-08 10:08:00,2019-03-08 10:11:00
490,2019-03-11 09:27:00,2019-03-11 09:30:00
491,2019-03-12 13:01:00,2019-03-12 13:02:00
492,2019-03-12 14:31:00,2019-03-12 14:34:00
493,2019-03-13 09:43:00,2019-03-13 09:46:00
494,2019-03-13 10:47:00,2019-03-13 10:50:00
495,2019-03-13 14:14:00,2019-03-13 14:17:00
496,2019-03-14 13:06:00,2019-03-14 13:09:00
497,2019-03-15 09:16:00,2019-03-15 09:18:00
498,2019-03-15 09:30:00,2019-03-15 09:33:00
499,2019-03-15 12:26:00,2019-03-15 12:29:00
500,2019-03-18 09:07:00,2019-03-18 09:10:00
501,2019-03-18 13:56:00,2019-03-18 13:59:00
